Date : 2025-06-20 02:27:41
Directory : c:\TaskFlow\src
Total : 118 files,  6211 codes, 80 comments, 594 blanks, all 6885 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         73 |      4,767 |         41 |        334 |      5,142 |
| JavaScript     |         42 |      1,217 |         33 |        212 |      1,462 |
| PostCSS        |          2 |        219 |          6 |         48 |        273 |
| XML            |          1 |          8 |          0 |          0 |          8 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                            |        118 |      6,211 |         80 |        594 |      6,885 |
| . (Files)                                                                    |          4 |        331 |          9 |         61 |        401 |
| api                                                                          |         23 |        440 |         33 |         89 |        562 |
| api\http                                                                     |         22 |        404 |         30 |         78 |        512 |
| api\http (Files)                                                             |          1 |        110 |          0 |         10 |        120 |
| api\http\auth                                                                |          6 |         52 |         30 |         19 |        101 |
| api\http\auth\login                                                          |          1 |         23 |          0 |          4 |         27 |
| api\http\auth\logout                                                         |          1 |          8 |          0 |          2 |         10 |
| api\http\auth\refresh                                                        |          1 |         21 |          0 |          4 |         25 |
| api\http\auth\reset                                                          |          3 |          0 |         30 |          9 |         39 |
| api\http\boards                                                              |          4 |         56 |          0 |         11 |         67 |
| api\http\tasks                                                               |          4 |         81 |          0 |         15 |         96 |
| api\http\users                                                               |          7 |        105 |          0 |         23 |        128 |
| api\http\users\create                                                        |          2 |         24 |          0 |          6 |         30 |
| api\http\users\delete                                                        |          2 |         19 |          0 |          4 |         23 |
| api\http\users\get                                                           |          1 |         17 |          0 |          3 |         20 |
| api\http\users\update                                                        |          2 |         45 |          0 |         10 |         55 |
| api\ws                                                                       |          1 |         36 |          3 |         11 |         50 |
| assets                                                                       |          1 |          8 |          0 |          0 |          8 |
| components                                                                   |         39 |      3,057 |         38 |        182 |      3,277 |
| components\dashboard-components                                              |          9 |      1,224 |          4 |         63 |      1,291 |
| components\dashboard-components (Files)                                      |          5 |        458 |          0 |         26 |        484 |
| components\dashboard-components\modals                                       |          4 |        766 |          4 |         37 |        807 |
| components\home-components                                                   |         11 |        550 |          0 |         31 |        581 |
| components\main-components                                                   |         15 |        930 |         27 |         70 |      1,027 |
| components\main-components (Files)                                           |          8 |        340 |          0 |         33 |        373 |
| components\main-components\checkbox                                          |          2 |         67 |          0 |          6 |         73 |
| components\main-components\route-auth                                        |          2 |         20 |          0 |          8 |         28 |
| components\main-components\user                                              |          3 |        503 |         27 |         23 |        553 |
| components\register-components                                               |          3 |        301 |          0 |         16 |        317 |
| components\task-components                                                   |          1 |         52 |          7 |          2 |         61 |
| config                                                                       |          2 |         77 |          0 |         13 |         90 |
| data                                                                         |         13 |        604 |          0 |         25 |        629 |
| hooks                                                                        |          5 |        113 |          0 |         27 |        140 |
| pages                                                                        |         13 |        880 |          0 |         86 |        966 |
| pages (Files)                                                                |          8 |        815 |          0 |         72 |        887 |
| pages\errors                                                                 |          5 |         65 |          0 |         14 |         79 |
| store                                                                        |          6 |        429 |          0 |         63 |        492 |
| utils                                                                        |          6 |        156 |          0 |         25 |        181 |
