"filename", "language", "JavaScript JSX", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"c:\TaskFlow\src\App.css", "PostCSS", 0, 0, 0, -28, 0, -10, -38
"c:\TaskFlow\src\App.jsx", "JavaScript JSX", -100, 0, 0, 0, -3, -11, -114
"c:\TaskFlow\src\assets\react.svg", "XML", 0, 0, -8, 0, 0, 0, -8
"c:\TaskFlow\src\components\dashboard-components\BoardCard.jsx", "JavaScript JSX", -80, 0, 0, 0, 0, -9, -89
"c:\TaskFlow\src\components\dashboard-components\ColorSelector.jsx", "JavaScript JSX", -117, 0, 0, 0, 0, -6, -123
"c:\TaskFlow\src\components\dashboard-components\FilterForm.jsx", "JavaScript JSX", -189, 0, 0, 0, 0, -5, -194
"c:\TaskFlow\src\components\dashboard-components\PaginationControl.jsx", "JavaScript JSX", -50, 0, 0, 0, 0, -4, -54
"c:\TaskFlow\src\components\dashboard-components\SearchBar.jsx", "JavaScript JSX", -22, 0, 0, 0, 0, -2, -24
"c:\TaskFlow\src\components\dashboard-components\modals\BoardDetailsModal.jsx", "JavaScript JSX", -258, 0, 0, 0, -4, -12, -274
"c:\TaskFlow\src\components\dashboard-components\modals\CreateBoardModal.jsx", "JavaScript JSX", -158, 0, 0, 0, 0, -7, -165
"c:\TaskFlow\src\components\dashboard-components\modals\CreateTaskModal.jsx", "JavaScript JSX", -235, 0, 0, 0, 0, -10, -245
"c:\TaskFlow\src\components\dashboard-components\modals\DeleteBoardModal.jsx", "JavaScript JSX", -115, 0, 0, 0, 0, -8, -123
"c:\TaskFlow\src\components\home-components\About.jsx", "JavaScript JSX", -37, 0, 0, 0, 0, -2, -39
"c:\TaskFlow\src\components\home-components\Advantages.jsx", "JavaScript JSX", -36, 0, 0, 0, 0, -2, -38
"c:\TaskFlow\src\components\home-components\Contacts.jsx", "JavaScript JSX", -102, 0, 0, 0, 0, -5, -107
"c:\TaskFlow\src\components\home-components\FAQ.jsx", "JavaScript JSX", -52, 0, 0, 0, 0, -5, -57
"c:\TaskFlow\src\components\home-components\Features.jsx", "JavaScript JSX", -62, 0, 0, 0, 0, -2, -64
"c:\TaskFlow\src\components\home-components\Hero.jsx", "JavaScript JSX", -57, 0, 0, 0, 0, -2, -59
"c:\TaskFlow\src\components\home-components\HowItWorks.jsx", "JavaScript JSX", -27, 0, 0, 0, 0, -2, -29
"c:\TaskFlow\src\components\home-components\Partners.jsx", "JavaScript JSX", -46, 0, 0, 0, 0, -1, -47
"c:\TaskFlow\src\components\home-components\Reviewers.jsx", "JavaScript JSX", -27, 0, 0, 0, 0, -2, -29
