"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "JavaScript JSX", "HTML", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"c:\TaskFlow\.github\workflows\static.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 30, 8, 6, 44
"c:\TaskFlow\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13
"c:\TaskFlow\components.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\TaskFlow\css\colors.css", "PostCSS", 0, 0, 0, 0, 0, 0, 85, 0, 0, 19, 28, 132
"c:\TaskFlow\css\utilities.css", "PostCSS", 0, 0, 0, 0, 0, 0, 97, 0, 0, 46, 32, 175
"c:\TaskFlow\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\TaskFlow\index.html", "HTML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\TaskFlow\jsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\TaskFlow\package-lock.json", "JSON", 0, 0, 0, 11986, 0, 0, 0, 0, 0, 0, 1, 11987
"c:\TaskFlow\package.json", "JSON", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 1, 99
"c:\TaskFlow\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\TaskFlow\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\TaskFlow\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 33, 0, 0, 116, 12, 161
"c:\TaskFlow\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 0, 3, 14, 121
"c:\TaskFlow\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\TaskFlow\src\common\data\filterAndSortData.jsx", "JavaScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 8, 55
"c:\TaskFlow\src\common\data\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\TaskFlow\src\common\hooks\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\TaskFlow\src\common\hooks\useMediaQuery.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 8, 41
"c:\TaskFlow\src\common\hooks\useResponsive.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\TaskFlow\src\common\hooks\useSocket.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"c:\TaskFlow\src\common\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\TaskFlow\src\common\route-auth\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\TaskFlow\src\common\route-auth\PublicRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\TaskFlow\src\common\route-auth\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\TaskFlow\src\common\tiptap\MenuBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 9, 67
"c:\TaskFlow\src\common\tiptap\TiptapEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 0, 23, 11, 138
"c:\TaskFlow\src\common\tiptap\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\TaskFlow\src\common\tiptap\menu-bar-config.js", "JavaScript", 0, 0, 185, 0, 0, 0, 0, 0, 0, 6, 1, 192
"c:\TaskFlow\src\common\tiptap\tiptap-extensions.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 3, 1, 36
"c:\TaskFlow\src\common\ui\feedback\AnimatedError.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"c:\TaskFlow\src\common\ui\feedback\FallbackComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\TaskFlow\src\common\ui\feedback\Loader.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\TaskFlow\src\common\ui\feedback\ModalManager.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 3, 38
"c:\TaskFlow\src\common\ui\feedback\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\TaskFlow\src\common\ui\forms\FormikCheckbox.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"c:\TaskFlow\src\common\ui\forms\Select.jsx", "JavaScript JSX", 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 10, 131
"c:\TaskFlow\src\common\ui\forms\SimpleСheckBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"c:\TaskFlow\src\common\ui\forms\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\TaskFlow\src\common\ui\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\TaskFlow\src\common\ui\layout\ErrorPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 6, 36
"c:\TaskFlow\src\common\ui\layout\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 4, 97
"c:\TaskFlow\src\common\ui\layout\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 10, 143
"c:\TaskFlow\src\common\ui\layout\Page.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\TaskFlow\src\common\ui\layout\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\TaskFlow\src\common\ui\utilities\AttributeSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 2, 66
"c:\TaskFlow\src\common\ui\utilities\BackToTop.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 10, 56
"c:\TaskFlow\src\common\ui\utilities\Bubbles.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 4, 57
"c:\TaskFlow\src\common\ui\utilities\Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 6, 56
"c:\TaskFlow\src\common\ui\utilities\ColorSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 6, 123
"c:\TaskFlow\src\common\ui\utilities\DropdownMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 8, 62
"c:\TaskFlow\src\common\ui\utilities\HighlightingContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 14, 70
"c:\TaskFlow\src\common\ui\utilities\Separator.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\TaskFlow\src\common\ui\utilities\Waves.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"c:\TaskFlow\src\common\ui\utilities\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\TaskFlow\src\config\blockedPublicPaths.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\TaskFlow\src\config\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\TaskFlow\src\config\routes.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 11, 86
"c:\TaskFlow\src\features\auth\api\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\TaskFlow\src\features\auth\api\loginUser.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\TaskFlow\src\features\auth\api\logoutUser.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\TaskFlow\src\features\auth\api\refreshToken.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\TaskFlow\src\features\auth\api\resetPassword.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 13
"c:\TaskFlow\src\features\auth\api\resetPasswordConfirm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 13
"c:\TaskFlow\src\features\auth\api\resetPasswordRequest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 13
"c:\TaskFlow\src\features\auth\components\RegisterFirstStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 11, 207
"c:\TaskFlow\src\features\auth\components\RegisterSecondStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 0, 4, 6, 89
"c:\TaskFlow\src\features\auth\components\RegisterThirdStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"c:\TaskFlow\src\features\auth\components\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\TaskFlow\src\features\auth\hooks\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\TaskFlow\src\features\auth\hooks\useAuthTokenRefresh.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\TaskFlow\src\features\auth\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\TaskFlow\src\features\auth\store\authStore.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\TaskFlow\src\features\auth\store\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\TaskFlow\src\features\auth\store\registerStore.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\TaskFlow\src\features\auth\validators\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\TaskFlow\src\features\auth\validators\loginSchema.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\TaskFlow\src\features\auth\validators\passwordResetSchema.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\TaskFlow\src\features\boards\api\createBoard.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\TaskFlow\src\features\boards\api\deleteBoard.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\TaskFlow\src\features\boards\api\getBoards.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\TaskFlow\src\features\boards\api\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\TaskFlow\src\features\boards\api\updateBoard.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\TaskFlow\src\features\boards\components\BoardActions.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\TaskFlow\src\features\boards\components\BoardCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 10, 124
"c:\TaskFlow\src\features\boards\components\BoardCardSkeleton.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\TaskFlow\src\features\boards\components\BoardContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"c:\TaskFlow\src\features\boards\components\BoardContextMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 13, 2, 58
"c:\TaskFlow\src\features\boards\components\BoardGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\TaskFlow\src\features\boards\components\BoardGridLoader.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\TaskFlow\src\features\boards\components\BoardHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 4, 121
"c:\TaskFlow\src\features\boards\components\BoardLoader.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 2, 17
"c:\TaskFlow\src\features\boards\components\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 1, 10
"c:\TaskFlow\src\features\boards\hooks\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\TaskFlow\src\features\boards\hooks\useBoardFilterAndPagination.jsx", "JavaScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 11, 120
"c:\TaskFlow\src\features\boards\hooks\useCreateBoard.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\TaskFlow\src\features\boards\hooks\useDeleteBoard.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\TaskFlow\src\features\boards\hooks\useGetBoards.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\TaskFlow\src\features\boards\hooks\useUpdateBoard.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\TaskFlow\src\features\boards\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\TaskFlow\src\features\boards\modals\BoardDetailsModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 18, 149
"c:\TaskFlow\src\features\boards\modals\CreateBoardModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 9, 142
"c:\TaskFlow\src\features\boards\modals\DeleteBoardModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 9, 118
"c:\TaskFlow\src\features\boards\modals\index.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
