"filename", "language", "PostCSS", "JavaScript JSX", "JavaScript", "JSON with Comments", "Markdown", "JSON", "HTML", "XML", "YAML", "comment", "blank", "total"
"c:\TaskFlow\.github\workflows\static.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, -30, -8, -6, -44
"c:\TaskFlow\README.md", "Markdown", 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, -6, -13
"c:\TaskFlow\components.json", "JSON", 0, 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, -21
"c:\TaskFlow\css\colors.css", "PostCSS", -85, 0, 0, 0, 0, 0, 0, 0, 0, -19, -28, -132
"c:\TaskFlow\css\utilities.css", "PostCSS", -97, 0, 0, 0, 0, 0, 0, 0, 0, -46, -32, -175
"c:\TaskFlow\eslint.config.js", "JavaScript", 0, 0, -32, 0, 0, 0, 0, 0, 0, 0, -2, -34
"c:\TaskFlow\index.html", "HTML", 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, -3, -21
"c:\TaskFlow\jsconfig.json", "JSON with Comments", 0, 0, 0, -26, 0, 0, 0, 0, 0, 0, -1, -27
"c:\TaskFlow\package-lock.json", "JSON", 0, 0, 0, 0, 0, -11986, 0, 0, 0, 0, -1, -11987
"c:\TaskFlow\package.json", "JSON", 0, 0, 0, 0, 0, -98, 0, 0, 0, 0, -1, -99
"c:\TaskFlow\postcss.config.js", "JavaScript", 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -1, -7
"c:\TaskFlow\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -8
"c:\TaskFlow\src\common\ui\utilities\Bubbles.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\TaskFlow\src\common\ui\utilities\SharkFin.jsx", "JavaScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\TaskFlow\src\common\ui\utilities\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\TaskFlow\src\features\auth\api\guestLogin.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\TaskFlow\src\features\auth\api\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\TaskFlow\src\features\auth\api\refreshToken.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\TaskFlow\src\features\auth\components\RegisterSecondStep.jsx", "JavaScript JSX", 0, -5, 0, 0, 0, 0, 0, 0, 0, 1, 0, -4
"c:\TaskFlow\src\features\auth\components\RegisterThirdStep.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\TaskFlow\src\features\auth\hooks\useAuthTokenRefresh.jsx", "JavaScript JSX", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\TaskFlow\src\features\auth\store\authStore.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\TaskFlow\src\features\boards\components\BoardCard.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\TaskFlow\src\features\boards\store\boardStore.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\TaskFlow\src\features\dashboard\hooks\useDashboardHandlers.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 8, 22
"c:\TaskFlow\src\features\home\components\Hero.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\TaskFlow\src\features\tasks\store\taskStore.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\TaskFlow\src\index.css", "PostCSS", -17, 0, 0, 0, 0, 0, 0, 0, 0, 18, -1, 0
"c:\TaskFlow\src\pages\auth\LoginPage.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\TaskFlow\src\pages\dashboard\DashboardPage.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\TaskFlow\src\pages\settings\SettingsPage.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"c:\TaskFlow\tailwind.config.js", "JavaScript", 0, 0, -7, 0, 0, 0, 0, 0, 0, -1, -1, -9
"c:\TaskFlow\vite.config.js", "JavaScript", 0, 0, -117, 0, 0, 0, 0, 0, 0, -93, -7, -217
"Total", "-", -199, 100, -101, -26, -7, -12105, -18, -8, -30, -147, -64, -12605
