"filename", "language", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"c:\TaskFlow\src\App.css", "PostCSS", 0, 0, 33, 0, 116, 12, 161
"c:\TaskFlow\src\App.jsx", "JavaScript JSX", 104, 0, 0, 0, 3, 14, 121
"c:\TaskFlow\src\assets\react.svg", "XML", 0, 0, 0, 8, 0, 0, 8
"c:\TaskFlow\src\common\data\filterAndSortData.jsx", "JavaScript JSX", 47, 0, 0, 0, 0, 8, 55
"c:\TaskFlow\src\common\data\index.js", "JavaScript", 0, 1, 0, 0, 0, 1, 2
"c:\TaskFlow\src\common\hooks\index.js", "JavaScript", 0, 3, 0, 0, 1, 1, 5
"c:\TaskFlow\src\common\hooks\useMediaQuery.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 8, 41
"c:\TaskFlow\src\common\hooks\useResponsive.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 6, 23
"c:\TaskFlow\src\common\hooks\useSocket.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 7, 26
"c:\TaskFlow\src\common\index.js", "JavaScript", 0, 5, 0, 0, 0, 1, 6
"c:\TaskFlow\src\common\route-auth\PrivateRoute.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 5, 15
"c:\TaskFlow\src\common\route-auth\PublicRoute.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 5, 15
"c:\TaskFlow\src\common\route-auth\index.js", "JavaScript", 0, 2, 0, 0, 0, 1, 3
"c:\TaskFlow\src\common\tiptap\MenuBar.jsx", "JavaScript JSX", 58, 0, 0, 0, 0, 9, 67
"c:\TaskFlow\src\common\tiptap\TiptapEditor.jsx", "JavaScript JSX", 104, 0, 0, 0, 23, 11, 138
"c:\TaskFlow\src\common\tiptap\index.js", "JavaScript", 0, 4, 0, 0, 0, 1, 5
"c:\TaskFlow\src\common\tiptap\menu-bar-config.js", "JavaScript", 0, 185, 0, 0, 6, 1, 192
"c:\TaskFlow\src\common\tiptap\tiptap-extensions.js", "JavaScript", 0, 32, 0, 0, 3, 1, 36
"c:\TaskFlow\src\common\ui\feedback\AnimatedError.jsx", "JavaScript JSX", 38, 0, 0, 0, 0, 4, 42
"c:\TaskFlow\src\common\ui\feedback\FallbackComponent.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 5, 30
"c:\TaskFlow\src\common\ui\feedback\Loader.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 3, 19
"c:\TaskFlow\src\common\ui\feedback\ModalManager.jsx", "JavaScript JSX", 35, 0, 0, 0, 0, 3, 38
"c:\TaskFlow\src\common\ui\feedback\index.js", "JavaScript", 0, 4, 0, 0, 0, 0, 4
"c:\TaskFlow\src\common\ui\forms\FormikCheckbox.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 4, 43
"c:\TaskFlow\src\common\ui\forms\Select.jsx", "JavaScript JSX", 121, 0, 0, 0, 0, 10, 131
"c:\TaskFlow\src\common\ui\forms\SimpleСheckBox.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, 2, 32
"c:\TaskFlow\src\common\ui\forms\index.js", "JavaScript", 0, 3, 0, 0, 0, 1, 4
"c:\TaskFlow\src\common\ui\index.js", "JavaScript", 0, 4, 0, 0, 0, 1, 5
